page_type,count_mqt,count_old_site,delta_explanation,notes
Homepage,1,1,0,Direct match
Package listing / category pages,13 (one per category),13+,0,Categories: North East India; India Tours; Uttar Pradesh; North India; East India; International; Adventure; Pilgrimage; South India; Helicopter; West India; Honeymoon; Wildlife
Individual package detail pages,1014,1014 (after 102 junk purge),0,1014 active slugs in allPackages.ts (was 1116; 102 purge artifacts removed, redirects pointing to /packages)
Blog listing page,1,1,0,Blog index at /blog
Individual blog post pages,410,410,0,Blog data in fullBlogData.json (410 entries)
About Us page,1,1,0,src/app/about-us/page.tsx
Careers page,1,0,+1,MQT-only page; no equivalent on old site
Customer Center page,1,0,+1,MQT-only; old site had different help structure
Destinations listing (by slug),dynamic (slug-based),dynamic,0,src/app/destinations/[slug]/page.tsx
Experiences listing + detail,dynamic,0,+2,MQT-only feature
Group Tours page,1,0,+1,MQT-only
My Booking page,1,0,+1,MQT-only (old site had different booking flow)
Pay Online page,1,0,+1,MQT-only
Privacy Policy,1,1,0,Standard legal page
Reviews page,1,0,+1,MQT-only
Site Map page,1,0,+1,MQT-only
Special Tours (themes),dynamic,0,+2,MQT-only feature
Terms and Conditions,1,1,0,Standard legal page
Catch-all [...slug],1,0,+1,Handles legacy/redirect slugs
API routes (OG images),dynamic,0,+1,src/app/api/og/[slug]/route.tsx
Total page files,21,,,
